Año;Mês;;TOTAL;Domestico;Comécio y Industria;Servicios Ayuntamiento
2000;     Enero  ;;11.419.599  ;7.686.184  ;3.139.986  ;593.429  
2000;     Febrero  ;;8.658.719  ;5.942.068  ;2.108.414  ;608.237  
2000;     Marzo  ;;9.044.661  ;5.864.622  ;2.506.078  ;673.961  
2000;     Abril  ;;10.912.590  ;7.189.097  ;3.110.204  ;613.289  
2000;     Mayo  ;;8.427.450  ;5.757.339  ;2.170.754  ;499.357  
2000;     Junio  ;;9.540.435  ;5.908.513  ;2.817.983  ;813.939  
2000;     Julio  ;;11.832.476  ;7.633.472  ;3.488.610  ;710.394  
2000;     Agosto  ;;8.647.609  ;5.455.425  ;2.491.390  ;700.794  
2000;     Septiembre  ;;8.785.934  ;5.312.442  ;2.664.142  ;809.350  
2000;     Octubre  ;;10.356.247  ;6.325.912  ;3.363.086  ;667.249  
2000;     Noviembre  ;;8.189.847  ;5.264.268  ;2.348.597  ;576.982  
2000;     Diciembre  ;;9.314.360  ;5.704.305  ;2.762.665  ;847.390  
2001;     Enero  ;;10.993.270  ;7.380.490  ;3.047.021  ;565.759  
2001;     Febrero  ;;8.038.158  ;5.648.660  ;1.955.301  ;434.197  
2001;     Marzo  ;;8.691.666  ;5.662.236  ;2.412.939  ;616.491  
2001;     Abril  ;;10.822.372  ;7.115.627  ;3.125.735  ;581.010  
2001;     Mayo  ;;8.577.309  ;5.752.477  ;2.277.319  ;547.513  
2001;     Junio  ;;9.611.333  ;5.966.370  ;2.832.136  ;812.827  
2001;     Julio  ;;12.073.295  ;7.613.338  ;3.621.170  ;838.787  
2001;     Agosto  ;;8.818.817  ;5.607.145  ;2.528.235  ;683.437  
2001;     Septiembre  ;;9.060.905  ;5.356.999  ;2.787.539  ;916.367  
2001;     Octubre  ;;10.512.536  ;6.418.759  ;3.413.980  ;679.797  
2001;     Noviembre  ;;7.931.763  ;5.138.695  ;2.222.226  ;570.842  
